Namespace(exp_name='dgcnn_1024_1', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Test 88, loss: 1.506383, test acc: 0.901135, test avg acc: 0.856093
Train 89, loss: 1.487825, train acc: 0.937704, train avg acc: 0.904609
Test 89, loss: 1.513394, test acc: 0.901540, test avg acc: 0.858430
Train 90, loss: 1.494625, train acc: 0.935261, train avg acc: 0.897663
Test 90, loss: 1.518463, test acc: 0.905592, test avg acc: 0.860797
Train 91, loss: 1.490718, train acc: 0.935159, train avg acc: 0.900061
Test 91, loss: 1.509053, test acc: 0.907212, test avg acc: 0.864814
Train 92, loss: 1.487633, train acc: 0.936177, train avg acc: 0.901906
Test 92, loss: 1.530590, test acc: 0.893436, test avg acc: 0.851221
Train 93, loss: 1.481999, train acc: 0.937805, train avg acc: 0.905555
Test 93, loss: 1.512046, test acc: 0.905592, test avg acc: 0.863302
Train 94, loss: 1.478132, train acc: 0.943099, train avg acc: 0.911008
Test 94, loss: 1.501404, test acc: 0.894652, test avg acc: 0.865552
Train 95, loss: 1.482234, train acc: 0.940147, train avg acc: 0.907833
Test 95, loss: 1.515729, test acc: 0.908023, test avg acc: 0.850837
Train 96, loss: 1.477698, train acc: 0.942386, train avg acc: 0.911997
Test 96, loss: 1.492382, test acc: 0.910049, test avg acc: 0.869953
Train 97, loss: 1.485701, train acc: 0.936279, train avg acc: 0.901289
Test 97, loss: 1.527840, test acc: 0.887358, test avg acc: 0.860256
Train 98, loss: 1.482180, train acc: 0.937907, train avg acc: 0.905860
Test 98, loss: 1.530662, test acc: 0.881280, test avg acc: 0.862256
Train 99, loss: 1.477635, train acc: 0.942793, train avg acc: 0.908906
Test 99, loss: 1.484822, test acc: 0.904376, test avg acc: 0.859424
Train 100, loss: 1.476604, train acc: 0.942691, train avg acc: 0.912807
Test 100, loss: 1.504341, test acc: 0.907212, test avg acc: 0.882459
Train 101, loss: 1.478658, train acc: 0.942997, train avg acc: 0.911730
Test 101, loss: 1.562349, test acc: 0.885737, test avg acc: 0.869145
Train 102, loss: 1.474331, train acc: 0.940859, train avg acc: 0.906398
Test 102, loss: 1.472401, test acc: 0.916532, test avg acc: 0.870209
Train 103, loss: 1.472544, train acc: 0.942182, train avg acc: 0.913293
Test 103, loss: 1.489435, test acc: 0.903971, test avg acc: 0.870169
Train 104, loss: 1.474289, train acc: 0.940248, train avg acc: 0.909829
Test 104, loss: 1.508303, test acc: 0.899109, test avg acc: 0.864157
Train 105, loss: 1.472011, train acc: 0.941877, train avg acc: 0.908245
Test 105, loss: 1.502654, test acc: 0.905592, test avg acc: 0.861750
Train 106, loss: 1.466557, train acc: 0.943913, train avg acc: 0.918565
Test 106, loss: 1.501773, test acc: 0.902755, test avg acc: 0.865302
Train 107, loss: 1.465896, train acc: 0.945236, train avg acc: 0.916207
Test 107, loss: 1.527107, test acc: 0.893031, test avg acc: 0.854262
Train 108, loss: 1.461491, train acc: 0.944829, train avg acc: 0.915118
